direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2025-12-16T14:30:02.672000,2025-12-16T16:13:43.560000,25282.5000,25339.7500,113.46,1.04,-20.50,323.00,long,reverse
short,1,2025-12-16T16:13:44.844000,2025-12-16T21:30:47.956000,25338.5000,25366.7500,-57.54,1.04,-56.50,146.50,short,reverse
long,1,2025-12-16T21:30:48.072000,2025-12-16T21:53:21.208000,25367.5000,25374.0000,11.96,1.04,-40.50,14.00,long,eod
short,1,2025-12-17T14:33:52.544000,2025-12-17T16:14:06.040000,24932.5000,24991.5000,-119.04,1.04,-117.50,89.50,short,reverse
long,1,2025-12-17T16:14:06.140000,2025-12-17T21:49:48.176000,24991.5000,24959.2500,-65.54,1.04,-180.50,41.00,long,eod
short,1,2025-12-18T16:01:09.592000,2025-12-18T21:32:04.816000,25241.5000,25286.0000,-90.04,1.04,-89.00,96.00,short,eod
long,1,2025-12-19T16:03:10.504000,2025-12-19T16:57:27.244000,25592.5000,25598.2500,10.46,1.04,-40.50,13.50,long,eod
short,1,2025-12-29T14:35:13.096000,2025-12-29T20:00:24.052000,25728.2500,25698.0000,59.46,1.04,-92.50,62.50,short,eod
long,1,2026-01-01T20:10:04.668000,2026-01-01T21:51:44.588000,25528.0000,25604.5000,151.96,1.04,-20.00,159.00,long,eod
short,1,2026-01-02T14:30:33.120000,2026-01-02T15:55:56.800000,25419.7500,25368.2500,101.96,1.04,-74.50,106.00,short,eod
long,1,2026-01-04T19:01:04.184000,2026-01-04T20:02:44.080000,25470.2500,25487.0000,32.46,1.04,-70.00,35.00,long,eod
short,1,2026-01-08T15:10:13.320000,2026-01-08T21:46:01.776000,25647.5000,25693.7500,-93.54,1.04,-188.50,41.00,short,eod
long,1,2026-01-09T14:46:53.408000,2026-01-09T16:45:00.564000,25967.5000,25924.2500,-87.54,1.04,-86.50,37.00,long,eod
short,1,2026-01-11T19:10:36.932000,2026-01-11T21:26:50.788000,25861.5000,25732.2500,257.46,1.04,-21.00,276.00,short,eod
long,1,2026-01-12T14:31:45.936000,2026-01-12T18:55:30.588000,26003.5000,25895.5000,-217.04,1.04,-217.00,34.00,long,reverse
