direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2025-12-15T03:41:01.572000,2025-12-15T09:39:05.480000,25535.7500,25569.0000,65.46,1.04,-11.00,268.50,long,reverse
short,1,2025-12-15T09:39:06.072000,2025-12-15T10:34:30.996000,25568.0000,25386.5000,361.96,1.04,-49.00,563.00,short,reverse
long,1,2025-12-15T10:36:51.312000,2025-12-15T11:36:17.088000,25340.2500,25415.7500,149.96,1.04,-26.00,353.50,long,reverse
short,1,2025-12-15T11:36:17.636000,2025-12-15T14:04:22.656000,25414.5000,25430.5000,-33.04,1.04,-57.50,172.00,short,reverse
long,1,2025-12-15T14:04:34.692000,2025-12-15T14:17:10.780000,25431.5000,25381.5000,-101.04,1.04,-99.50,4.50,long,stop
short,1,2025-12-15T15:54:50.076000,2025-12-15T21:27:21.808000,25332.5000,25185.0000,293.96,1.04,-82.00,440.00,short,eod
long,1,2025-12-16T03:27:05.800000,2025-12-16T08:39:01.944000,25177.7500,25281.5000,206.46,1.04,-24.00,411.50,long,reverse
short,1,2025-12-16T08:39:02.540000,2025-12-16T09:31:54.156000,25280.0000,25312.5000,-66.04,1.04,-77.50,140.50,short,reverse
long,1,2025-12-16T09:31:55.608000,2025-12-16T09:33:41.616000,25313.5000,25263.5000,-101.04,1.04,-99.50,12.00,long,stop
short,1,2025-12-16T09:42:29.064000,2025-12-16T09:47:12.004000,25249.0000,25299.0000,-101.04,1.04,-99.50,91.50,short,stop
long,1,2025-12-16T09:47:12.912000,2025-12-16T10:10:57.128000,25304.7500,25307.7500,4.96,1.04,-29.50,207.50,long,reverse
short,1,2025-12-16T10:11:00.876000,2025-12-16T10:31:54.920000,25306.7500,25277.5000,57.46,1.04,-76.50,261.50,short,reverse
long,1,2025-12-16T10:31:55.396000,2025-12-16T10:36:43.016000,25278.5000,25228.5000,-101.04,1.04,-99.50,22.50,long,stop
short,1,2025-12-16T11:16:53.752000,2025-12-16T11:49:10.376000,25239.5000,25289.5000,-101.04,1.04,-99.50,53.50,short,stop
long,1,2025-12-16T11:50:47.792000,2025-12-16T12:27:02.432000,25315.2500,25265.2500,-101.04,1.04,-99.50,80.50,long,stop
short,1,2025-12-16T12:42:15.432000,2025-12-16T13:36:18.172000,25254.5000,25271.5000,-35.04,1.04,-34.00,169.00,short,reverse
long,1,2025-12-16T13:36:18.192000,2025-12-16T14:07:41.464000,25272.5000,25248.7500,-48.54,1.04,-48.00,155.50,long,reverse
short,1,2025-12-16T14:07:43.032000,2025-12-16T14:31:00.332000,25247.5000,25297.5000,-101.04,1.04,-99.50,45.50,short,stop
long,1,2025-12-16T14:43:32.052000,2025-12-16T16:13:43.560000,25326.5000,25339.7500,25.46,1.04,-58.00,235.00,long,reverse
short,1,2025-12-16T16:13:44.844000,2025-12-16T21:30:47.956000,25338.5000,25366.7500,-57.54,1.04,-56.50,146.50,short,reverse
long,1,2025-12-16T21:30:48.072000,2025-12-16T21:53:21.208000,25367.5000,25374.0000,11.96,1.04,-40.50,14.00,long,eod
short,1,2025-12-17T08:20:10.768000,2025-12-17T08:46:40.688000,25405.5000,25455.7500,-101.54,1.04,-99.50,18.50,short,stop
long,1,2025-12-17T09:58:10.412000,2025-12-17T10:01:18.440000,25346.2500,25296.2500,-101.04,1.04,-99.50,6.00,long,stop
short,1,2025-12-17T10:35:37.660000,2025-12-17T16:14:03.744000,25247.5000,24990.0000,513.96,1.04,0.00,719.50,short,reverse
long,1,2025-12-17T16:14:06.040000,2025-12-17T16:36:59.236000,24991.5000,24941.5000,-101.04,1.04,-99.50,8.50,long,stop
short,1,2025-12-18T09:38:25.936000,2025-12-18T09:54:50.748000,25228.0000,25263.0000,-71.04,1.04,-70.00,134.50,short,reverse
long,1,2025-12-18T09:54:52.092000,2025-12-18T10:10:48.292000,25263.5000,25213.5000,-101.04,1.04,-99.50,75.00,long,stop
short,1,2025-12-18T10:11:18.440000,2025-12-18T10:23:05.672000,25200.0000,25250.0000,-101.04,1.04,-99.50,50.50,short,stop
long,1,2025-12-18T10:24:48.712000,2025-12-18T12:06:28.764000,25275.0000,25313.0000,74.96,1.04,-1.00,284.00,long,reverse
short,1,2025-12-18T12:06:29.908000,2025-12-18T12:35:28.612000,25312.0000,25286.0000,50.96,1.04,-3.50,254.50,short,reverse
long,1,2025-12-18T12:35:29.172000,2025-12-18T14:02:42.772000,25287.0000,25301.0000,26.96,1.04,-50.00,231.00,long,reverse
short,1,2025-12-18T14:02:45.176000,2025-12-18T15:15:04.324000,25300.0000,25294.7500,9.46,1.04,-65.00,214.50,short,reverse
long,1,2025-12-18T15:15:04.748000,2025-12-18T16:00:01.072000,25295.2500,25245.2500,-101.04,1.04,-99.50,94.50,long,stop
short,1,2025-12-18T16:01:09.592000,2025-12-18T21:32:04.816000,25241.5000,25286.0000,-90.04,1.04,-89.00,96.00,short,eod
long,1,2025-12-19T00:00:01.748000,2025-12-19T07:58:33.388000,25306.5000,25287.0000,-40.04,1.04,-79.50,174.00,long,reverse
short,1,2025-12-19T07:58:42.016000,2025-12-19T08:38:47.172000,25286.2500,25336.2500,-101.04,1.04,-99.50,25.00,short,stop
long,1,2025-12-19T09:21:05.908000,2025-12-19T09:27:36.312000,25376.2500,25326.2500,-101.04,1.04,-99.50,14.50,long,stop
short,1,2025-12-19T10:26:02.488000,2025-12-19T10:35:33.024000,25493.2500,25543.2500,-101.04,1.04,-99.50,56.00,short,stop
long,1,2025-12-19T11:41:39.468000,2025-12-19T11:47:56.996000,25562.2500,25512.2500,-101.04,1.04,-99.50,5.50,long,stop
short,1,2025-12-22T09:36:00.256000,2025-12-22T09:51:34.532000,25693.2500,25743.2500,-101.04,1.04,-99.50,44.50,short,stop
long,1,2025-12-22T12:57:39.512000,2025-12-22T13:16:12.496000,25726.0000,25676.0000,-101.04,1.04,-99.50,10.50,long,stop
short,1,2025-12-23T08:39:01.924000,2025-12-23T09:30:33.424000,25633.2500,25683.2500,-101.04,1.04,-99.50,49.50,short,stop
long,1,2025-12-23T09:30:50.928000,2025-12-23T10:02:06.120000,25709.2500,25659.2500,-101.04,1.04,-99.50,84.00,long,stop
short,1,2025-12-23T10:03:01.852000,2025-12-23T10:36:22.748000,25646.5000,25696.5000,-101.04,1.04,-99.50,38.50,short,stop
long,1,2025-12-23T10:55:20.848000,2025-12-23T19:10:06.044000,25728.5000,25824.7500,191.46,1.04,-21.00,194.00,long,eod
