time,open,high,low,close,volume
2026-05-05 00:00:03.260,27840.75,27841.75,27840.5,27841.75,13
2026-05-05 00:01:14.280,27817.75,27842.75,27817.75,27842.75,151
2026-05-05 00:01:36.600,27818.75,27843.75,27818.75,27843.75,39
2026-05-05 00:01:39.352,27819.75,27844.75,27819.75,27844.75,18
2026-05-05 00:01:45.104,27820.75,27845.75,27820.75,27845.75,42
2026-05-05 00:01:46.604,27821.75,27846.75,27821.75,27846.75,13
2026-05-05 00:01:47.480,27822.75,27847.75,27822.75,27847.75,41
2026-05-05 00:01:47.480,27823.75,27848.75,27823.75,27848.75,50
2026-05-05 00:03:14.156,27824.75,27849.75,27824.75,27849.75,491
2026-05-05 00:03:18.692,27825.75,27850.75,27825.75,27850.75,173
2026-05-05 00:03:19.784,27826.75,27851.75,27826.75,27851.75,114
2026-05-05 00:03:19.788,27827.75,27852.75,27827.75,27852.75,44
2026-05-05 00:04:07.124,27828.75,27853.75,27828.75,27853.75,510
2026-05-05 00:04:07.124,27829.75,27854.75,27829.75,27854.75,63
2026-05-05 00:04:07.124,27830.75,27855.75,27830.75,27855.75,47
2026-05-05 00:04:07.164,27831.75,27856.75,27831.75,27856.75,73
2026-05-05 00:04:07.220,27832.75,27857.75,27832.75,27857.75,44
2026-05-05 00:04:09.504,27833.75,27858.75,27833.75,27858.75,165
2026-05-05 02:00:53.276,27834.75,27859.75,27819.75,27859.75,26085
2026-05-05 02:00:53.276,27835.75,27860.75,27835.75,27860.75,96
2026-05-05 02:00:53.304,27836.75,27861.75,27836.75,27861.75,64
2026-05-05 02:00:54.008,27837.75,27862.75,27837.75,27862.75,125
2026-05-05 02:01:10.828,27838.75,27863.75,27838.75,27863.75,288
2026-05-05 02:01:10.828,27839.75,27864.75,27839.75,27864.75,36
2026-05-05 02:01:10.828,27840.75,27865.75,27840.75,27865.75,62
2026-05-05 02:01:10.828,27841.75,27866.75,27841.75,27866.75,44
2026-05-05 02:01:15.000,27842.75,27867.75,27842.75,27867.75,231
2026-05-05 02:01:16.100,27843.75,27868.75,27843.75,27868.75,70
2026-05-05 02:01:16.504,27844.75,27869.75,27844.75,27869.75,47
2026-05-05 02:01:16.896,27845.75,27870.75,27845.75,27870.75,77
2026-05-05 02:01:17.008,27846.75,27871.75,27846.75,27871.75,116
2026-05-05 02:01:23.464,27847.75,27872.75,27847.75,27872.75,195
2026-05-05 02:24:30.832,27848.75,27873.75,27823.75,27823.75,9925
2026-05-05 02:24:30.832,27847.75,27847.75,27822.75,27822.75,41
2026-05-05 02:24:31.488,27846.75,27846.75,27821.75,27821.75,64
2026-05-05 02:24:34.728,27845.75,27845.75,27820.75,27820.75,97
2026-05-05 02:24:37.104,27844.75,27844.75,27819.75,27819.75,130
2026-05-05 02:24:38.208,27843.75,27843.75,27818.75,27818.75,109
2026-05-05 02:43:32.724,27842.75,27867.75,27818.5,27867.75,8282
2026-05-05 02:43:51.320,27843.75,27868.75,27843.75,27868.75,241
